Starting Worker worker4

╔══════════════════════════════════════════════════════════════════════╗
║  ETL Step 2b: eFACTS Scraper v23 (Production Ready)                 ║
║  Fixes: Schema enforcement, ID splitting, ghost row removal,        ║
║         error handling data.table construction                      ║
╚══════════════════════════════════════════════════════════════════════╝


✓ eFACTS Scraper v23 loaded successfully.

Usage:
  linkage <- read.csv('data/external/padep/facility_linkage_table.csv')
  ids <- unique(linkage$efacts_facility_id[!is.na(linkage$efacts_facility_id)])
  run_scraper(ids)

Utilities:
  get_scrape_status()           - Check progress
  reset_checkpoint()            - Start over
  migrate_checkpoint_v22_to_v23() - Migrate from v22 checkpoint

[16:25:50] INFO: STARTING FRESH SCRAPE
[16:25:50] INFO: Scraping 9638 facilities (100.0% remaining)

[16:25:56] 1/9638 (0.0%) | ID: 606397 | T:1 I:0 V:0 P:4
[16:26:05] 2/9638 (0.0%) | ID: 606398 | T:0 I:3 V:1 P:8
[16:26:08] 3/9638 (0.0%) | ID: 606399 | T:0 I:0 V:0 P:0
[16:26:12] 4/9638 (0.0%) | ID: 606402 | T:0 I:0 V:0 P:0
[16:26:16] 5/9638 (0.1%) | ID: 606403 | T:0 I:0 V:0 P:0
[16:26:20] 6/9638 (0.1%) | ID: 606404 | T:0 I:0 V:0 P:0
[16:26:33] 7/9638 (0.1%) | ID: 606405 | T:0 I:9 V:11 P:12
[16:27:02] 8/9638 (0.1%) | ID: 606406 | T:2 I:28 V:36 P:8
[16:27:06] 9/9638 (0.1%) | ID: 606407 | T:0 I:0 V:0 P:0
[16:27:10] 10/9638 (0.1%) | ID: 883120 | T:1 I:0 V:0 P:2
[16:27:29] 11/9638 (0.1%) | ID: 606408 | T:0 I:10 V:10 P:4
[16:27:34] 12/9638 (0.1%) | ID: 606409 | T:0 I:0 V:0 P:0
[16:27:40] 13/9638 (0.1%) | ID: 606410 | T:0 I:0 V:0 P:0
[16:27:44] 14/9638 (0.1%) | ID: 606411 | T:0 I:0 V:0 P:0
[16:27:48] 15/9638 (0.2%) | ID: 606412 | T:0 I:0 V:0 P:0
[16:27:57] 16/9638 (0.2%) | ID: 606413 | T:0 I:1 V:2 P:4
[16:28:06] 17/9638 (0.2%) | ID: 606414 | T:0 I:3 V:1 P:4
[16:28:11] 18/9638 (0.2%) | ID: 606415 | T:0 I:0 V:0 P:0
[16:28:15] 19/9638 (0.2%) | ID: 606416 | T:0 I:0 V:0 P:0
[16:28:39] 20/9638 (0.2%) | ID: 606417 | T:1 I:14 V:17 P:4
[16:28:42] 21/9638 (0.2%) | ID: 606418 | T:0 I:0 V:0 P:0
[16:28:59] 22/9638 (0.2%) | ID: 606419 | T:3 I:11 V:7 P:2
[16:29:04] 23/9638 (0.2%) | ID: 606420 | T:0 I:0 V:0 P:0
[16:29:07] 24/9638 (0.2%) | ID: 606421 | T:0 I:0 V:0 P:0
[16:29:11] 25/9638 (0.3%) | ID: 606422 | T:0 I:1 V:0 P:0
[16:29:18] 26/9638 (0.3%) | ID: 606423 | T:0 I:0 V:0 P:0
[16:29:21] 27/9638 (0.3%) | ID: 606424 | T:0 I:0 V:0 P:0
[16:29:27] 28/9638 (0.3%) | ID: 606425 | T:0 I:0 V:0 P:0
[16:29:39] 29/9638 (0.3%) | ID: 606426 | T:1 I:10 V:8 P:0
[16:29:42] 30/9638 (0.3%) | ID: 606427 | T:0 I:0 V:0 P:0
[16:29:46] 31/9638 (0.3%) | ID: 606428 | T:0 I:0 V:0 P:0
[16:30:18] 32/9638 (0.3%) | ID: 606429 | T:0 I:15 V:64 P:4
[16:30:22] 33/9638 (0.3%) | ID: 606430 | T:0 I:0 V:0 P:0
[16:30:26] 34/9638 (0.4%) | ID: 606431 | T:0 I:0 V:0 P:0
[16:30:29] 35/9638 (0.4%) | ID: 606432 | T:0 I:0 V:0 P:0
[16:30:40] 36/9638 (0.4%) | ID: 606433 | T:0 I:7 V:4 P:4
[16:30:44] 37/9638 (0.4%) | ID: 606434 | T:0 I:0 V:0 P:0
[16:30:52] 38/9638 (0.4%) | ID: 606435 | T:0 I:0 V:0 P:4
[16:30:56] 39/9638 (0.4%) | ID: 606436 | T:0 I:0 V:0 P:0
[16:31:00] 40/9638 (0.4%) | ID: 606437 | T:0 I:0 V:0 P:0
[16:31:47] 41/9638 (0.4%) | ID: 606438 | T:4 I:33 V:56 P:2
[16:32:10] 42/9638 (0.4%) | ID: 606439 | T:4 I:10 V:38 P:0
[16:32:15] 43/9638 (0.4%) | ID: 606440 | T:0 I:1 V:0 P:0
[16:32:19] 44/9638 (0.5%) | ID: 606442 | T:0 I:0 V:0 P:0
[16:32:48] 45/9638 (0.5%) | ID: 606443 | T:5 I:15 V:46 P:2
[16:34:01] 46/9638 (0.5%) | ID: 606444 | T:15 I:43 V:102 P:12
[16:34:14] 47/9638 (0.5%) | ID: 606445 | T:0 I:8 V:4 P:8
[16:34:19] 48/9638 (0.5%) | ID: 783292 | T:0 I:0 V:0 P:2
[16:34:25] 49/9638 (0.5%) | ID: 606446 | T:0 I:0 V:0 P:0
[16:34:30] 50/9638 (0.5%) | ID: 606447 | T:0 I:0 V:0 P:0
[16:34:33] 51/9638 (0.5%) | ID: 606448 | T:0 I:0 V:0 P:0
[16:34:38] 52/9638 (0.5%) | ID: 606449 | T:0 I:1 V:0 P:0
[16:34:48] 53/9638 (0.5%) | ID: 606450 | T:3 I:16 V:4 P:2
[16:34:52] 54/9638 (0.6%) | ID: 606451 | T:0 I:0 V:0 P:0
[16:34:57] 55/9638 (0.6%) | ID: 606452 | T:0 I:0 V:0 P:0
[16:35:00] 56/9638 (0.6%) | ID: 606453 | T:0 I:0 V:0 P:0
