[2026-01-05 16:25:50] INFO: STARTING FRESH SCRAPE
[2026-01-05 16:25:50] INFO: Scraping 9638 facilities (100.0% remaining)
[2026-01-05 16:41:55] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 16:59:52] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:14:12] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:25:55] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 17:41:55] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:10:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:34:45] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 18:58:29] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 19:36:26] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:03:13] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 20:32:29] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:02:19] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 21:36:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:14:18] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 22:44:43] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:04:26] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:28:00] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-05 23:54:57] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 00:21:52] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 00:56:35] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 01:44:15] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 02:11:43] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 02:36:03] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:03:37] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 03:38:41] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 04:17:17] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 04:43:46] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:05:30] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:27:56] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 05:52:17] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 06:23:42] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 06:54:53] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 07:22:32] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 08:15:44] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 09:37:18] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 10:56:46] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 11:54:11] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 12:58:19] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 13:39:36] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 14:30:33] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 15:28:56] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 16:26:32] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 17:19:25] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 18:07:27] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 19:01:59] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 19:59:10] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 20:53:19] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 21:44:08] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 22:39:25] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-06 23:27:28] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 00:01:41] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 00:40:22] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 01:27:37] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 01:58:16] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 02:29:00] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 03:38:37] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 04:42:03] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 05:42:37] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 06:38:14] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 07:52:02] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 08:51:47] INFO: Checkpoint: Saving batch of 100 facilities
[2026-01-07 10:04:53] INFO: Checkpoint: Saving batch of 100 facilities
